Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Customer Type,Sales Channel,Unit Cost,Total Cost,Profit
10074,2024-03-30,Clothing,Levi's 501 Jeans,12,70.9,850.8,Asia,Credit Card,Returning,Online,55.29,663.48,187.32
10075,2024-03-31,Electronics,iPhone 14 Pro,5,1020.98,5104.9,South America,UPI,New,Store,831.75,4158.75,946.15
10076,2024-04-01,Electronics,iPhone 14 Pro,1,1038.4,1038.4,Asia,Credit Card,New,Online,770.06,770.06,268.34
10077,2024-04-02,Home Appliances,Dyson V11 Vacuum,15,497.92,7468.8,Europe,UPI,Returning,Online,379.27,5689.05,1779.75
10078,2024-04-03,Electronics,Sony WH-1000XM5,15,343.04,5145.6,Asia,UPI,Returning,Mobile App,242.21,3633.15,1512.45
10079,2024-04-05,Electronics,Samsung Galaxy S24,3,900.74,2702.22,Australia,Debit Card,New,Online,593.67,1781.01,921.21
10080,2024-04-06,Beauty Products,The Ordinary Serum,5,24.5,122.5,South America,UPI,Returning,Online,16.31,81.55,40.95
10081,2024-04-07,Electronics,Samsung Galaxy S24,7,874.58,6122.06,South America,PayPal,New,Online,619.94,4339.58,1782.48
10082,2024-04-08,Home Appliances,Philips Air Fryer,8,126.42,1011.36,Europe,Debit Card,Returning,Store,89.07,712.56,298.8
10083,2024-04-10,Clothing,Nike Air Max,10,147.23,1472.3,Europe,Debit Card,New,Store,112.28,1122.8,349.5
10084,2024-04-11,Clothing,Levi's 501 Jeans,6,70.08,420.48,Asia,Bank Transfer,VIP,Store,52.48,314.88,105.6
10085,2024-04-12,Books,The Da Vinci Code,8,16.47,131.76,Asia,Bank Transfer,Returning,Online,10.46,83.68,48.08
10086,2024-04-13,Electronics,iPhone 14 Pro,2,1034.19,2068.38,North America,PayPal,New,Online,584.32,1168.64,899.74
10087,2024-04-14,Books,The Da Vinci Code,5,16.38,81.9,Asia,Bank Transfer,VIP,Online,9.07,45.35,36.55
10088,2024-04-16,Books,The Da Vinci Code,3,16.15,48.45,Asia,PayPal,VIP,Mobile App,9.4,28.2,20.25
10089,2024-04-17,Home Appliances,Philips Air Fryer,12,127.53,1530.36,North America,UPI,New,Store,93.82,1125.84,404.52
10090,2024-04-18,Home Appliances,Dyson V11 Vacuum,1,485.44,485.44,Asia,Credit Card,New,Mobile App,335.81,335.81,149.63
10091,2024-04-19,Beauty Products,The Ordinary Serum,15,25.13,376.95,Australia,Bank Transfer,New,Online,19.51,292.65,84.3
10092,2024-04-21,Beauty Products,Neutrogena Skincare Set,6,86.21,517.26,North America,Debit Card,Returning,Online,65.0,390.0,127.26
10093,2024-04-22,Electronics,MacBook Air M2,3,1144.77,3434.31,South America,PayPal,New,Online,643.42,1930.26,1504.05
10094,2024-04-23,Beauty Products,The Ordinary Serum,9,24.97,224.73,Europe,PayPal,Returning,Store,14.3,128.7,96.03
10095,2024-04-24,Clothing,Levi's 501 Jeans,10,71.18,711.8,South America,Credit Card,New,Store,53.81,538.1,173.7
10096,2024-04-25,Beauty Products,Neutrogena Skincare Set,6,93.09,558.54,Asia,UPI,VIP,Store,63.33,379.98,178.56
10097,2024-04-27,Home Appliances,Philips Air Fryer,14,131.12,1835.68,Europe,PayPal,Returning,Store,102.22,1431.08,404.6
10098,2024-04-28,Clothing,Levi's 501 Jeans,2,69.28,138.56,South America,UPI,New,Online,55.26,110.52,28.04
10099,2024-04-29,Electronics,MacBook Air M2,3,1047.72,3143.16,South America,Debit Card,New,Store,838.61,2515.83,627.33
10100,2024-04-30,Clothing,Levi's 501 Jeans,1,68.44,68.44,Asia,UPI,VIP,Store,50.63,50.63,17.81
10101,2024-05-02,Beauty Products,Neutrogena Skincare Set,8,92.34,738.72,Asia,UPI,VIP,Mobile App,73.31,586.48,152.24
10102,2024-05-03,Home Appliances,Philips Air Fryer,14,124.97,1749.58,Australia,Debit Card,Returning,Store,93.45,1308.3,441.28
10103,2024-05-04,Home Appliances,Philips Air Fryer,15,136.29,2044.35,Australia,UPI,Returning,Online,85.57,1283.55,760.8
10104,2024-05-05,Electronics,iPhone 14 Pro,2,954.09,1908.18,Australia,Debit Card,VIP,Online,725.0,1450.0,458.18
10105,2024-05-06,Electronics,MacBook Air M2,15,1090.26,16353.9,South America,Credit Card,Returning,Mobile App,833.28,12499.2,3854.7
10106,2024-05-08,Electronics,MacBook Air M2,14,1135.47,15896.58,North America,PayPal,New,Online,635.84,8901.76,6994.82
10107,2024-05-09,Beauty Products,The Ordinary Serum,11,25.52,280.72,North America,Bank Transfer,Returning,Mobile App,19.37,213.07,67.65
10108,2024-05-10,Home Appliances,Dyson V11 Vacuum,1,486.72,486.72,Europe,Bank Transfer,New,Store,349.42,349.42,137.3
10109,2024-05-11,Electronics,MacBook Air M2,11,1048.25,11530.75,South America,Bank Transfer,Returning,Online,690.13,7591.43,3939.32
10110,2024-05-13,Home Appliances,Dyson V11 Vacuum,13,492.39,6401.07,Australia,PayPal,Returning,Online,384.26,4995.38,1405.69
10111,2024-05-14,Electronics,Samsung Galaxy S24,5,934.78,4673.9,South America,Credit Card,New,Store,561.48,2807.4,1866.5
10112,2024-05-15,Home Appliances,Philips Air Fryer,13,136.47,1774.11,South America,Debit Card,New,Store,85.98,1117.74,656.37
10113,2024-05-16,Electronics,Sony WH-1000XM5,15,357.02,5355.3,North America,PayPal,VIP,Online,253.74,3806.1,1549.2
10114,2024-05-17,Home Appliances,Dyson V11 Vacuum,3,493.26,1479.78,Europe,PayPal,New,Online,280.24,840.72,639.06
10115,2024-05-19,Beauty Products,The Ordinary Serum,10,24.6,246.0,Australia,Bank Transfer,Returning,Store,16.32,163.2,82.8
10116,2024-05-20,Beauty Products,The Ordinary Serum,5,25.98,129.9,Asia,PayPal,VIP,Store,15.94,79.7,50.2
10117,2024-05-21,Beauty Products,The Ordinary Serum,12,25.22,302.64,North America,PayPal,New,Online,18.32,219.84,82.8
10118,2024-05-22,Electronics,Sony WH-1000XM5,3,363.09,1089.27,North America,Debit Card,Returning,Mobile App,227.47,682.41,406.86
10119,2024-05-24,Clothing,Nike Air Max,7,149.63,1047.41,Asia,UPI,Returning,Mobile App,122.48,857.36,190.05
10120,2024-05-25,Electronics,MacBook Air M2,12,1065.36,12784.32,Europe,Credit Card,Returning,Mobile App,747.65,8971.8,3812.52
10121,2024-05-26,Books,Atomic Habits,8,19.86,158.88,Australia,Bank Transfer,New,Online,11.12,88.96,69.92
10122,2024-05-27,Electronics,iPhone 14 Pro,4,956.54,3826.16,Europe,Debit Card,New,Online,643.64,2574.56,1251.6
10123,2024-05-28,Beauty Products,Neutrogena Skincare Set,2,88.95,177.9,Australia,UPI,New,Online,50.38,100.76,77.14
10124,2024-05-30,Home Appliances,Philips Air Fryer,6,128.91,773.46,Europe,Credit Card,VIP,Online,70.96,425.76,347.7
10125,2024-05-31,Electronics,Samsung Galaxy S24,8,899.05,7192.4,Asia,Debit Card,Returning,Mobile App,575.33,4602.64,2589.76
10126,2024-06-01,Clothing,Levi's 501 Jeans,4,68.75,275.0,Australia,Debit Card,Returning,Online,42.31,169.24,105.76
10127,2024-06-02,Books,The Da Vinci Code,5,16.68,83.4,Asia,Debit Card,Returning,Online,9.39,46.95,36.45
10128,2024-06-04,Clothing,Nike Air Max,1,144.56,144.56,North America,Credit Card,New,Online,115.37,115.37,29.19
10129,2024-06-05,Electronics,Samsung Galaxy S24,2,910.8,1821.6,North America,Debit Card,Returning,Mobile App,560.36,1120.72,700.88
10130,2024-06-06,Home Appliances,Philips Air Fryer,1,134.58,134.58,Asia,Credit Card,Returning,Mobile App,96.52,96.52,38.06
10131,2024-06-07,Electronics,MacBook Air M2,4,1146.06,4584.24,Australia,UPI,VIP,Online,770.96,3083.84,1500.4
10132,2024-06-08,Books,The Da Vinci Code,13,15.7,204.1,North America,UPI,New,Online,12.02,156.26,47.84
10133,2024-06-10,Clothing,Nike Air Max,5,143.66,718.3,South America,PayPal,New,Online,80.17,400.85,317.45
10134,2024-06-11,Clothing,Nike Air Max,11,153.11,1684.21,Australia,PayPal,VIP,Store,114.74,1262.14,422.07
10135,2024-06-12,Electronics,Sony WH-1000XM5,2,337.52,675.04,North America,Credit Card,Returning,Mobile App,248.8,497.6,177.44
10136,2024-06-13,Electronics,MacBook Air M2,1,1046.81,1046.81,Asia,Debit Card,New,Mobile App,856.43,856.43,190.38
10137,2024-06-15,Electronics,Samsung Galaxy S24,14,903.25,12645.5,North America,PayPal,New,Store,648.43,9078.02,3567.48
10138,2024-06-16,Electronics,Samsung Galaxy S24,5,914.72,4573.6,North America,Credit Card,Returning,Online,709.63,3548.15,1025.45
10139,2024-06-17,Beauty Products,Neutrogena Skincare Set,14,87.77,1228.78,North America,Debit Card,New,Store,62.75,878.5,350.28
10140,2024-06-18,Clothing,Levi's 501 Jeans,11,70.46,775.06,South America,Bank Transfer,New,Store,53.18,584.98,190.08
10141,2024-06-19,Beauty Products,The Ordinary Serum,1,25.73,25.73,Asia,Debit Card,New,Mobile App,17.77,17.77,7.96
10142,2024-06-21,Clothing,Nike Air Max,6,152.73,916.38,Europe,Bank Transfer,New,Online,90.16,540.96,375.42
10143,2024-06-22,Beauty Products,The Ordinary Serum,13,26.02,338.26,Europe,Debit Card,Returning,Mobile App,15.8,205.4,132.86
10144,2024-06-23,Clothing,Nike Air Max,6,150.25,901.5,South America,UPI,Returning,Store,112.73,676.38,225.12
10145,2024-06-24,Home Appliances,Philips Air Fryer,2,135.24,270.48,Australia,UPI,New,Online,105.99,211.98,58.5
10146,2024-06-26,Home Appliances,Philips Air Fryer,12,123.79,1485.48,Australia,PayPal,Returning,Mobile App,100.81,1209.72,275.76
10147,2024-06-27,Clothing,Nike Air Max,6,147.28,883.68,Asia,Debit Card,New,Store,105.21,631.26,252.42
10148,2024-06-28,Clothing,Levi's 501 Jeans,15,69.76,1046.4,Europe,PayPal,New,Online,42.07,631.05,415.35
10149,2024-06-29,Electronics,MacBook Air M2,3,1120.29,3360.87,North America,Bank Transfer,New,Online,718.84,2156.52,1204.35
10150,2024-06-30,Home Appliances,Philips Air Fryer,12,134.94,1619.28,Asia,PayPal,New,Store,84.35,1012.2,607.08
10151,2024-07-02,Electronics,iPhone 14 Pro,8,975.93,7807.44,North America,Debit Card,VIP,Store,548.66,4389.28,3418.16
10152,2024-07-03,Books,The Da Vinci Code,8,15.37,122.96,North America,PayPal,Returning,Mobile App,9.5,76.0,46.96
10153,2024-07-04,Books,Atomic Habits,14,20.96,293.44,Europe,Bank Transfer,New,Online,17.09,239.26,54.18
10154,2024-07-05,Beauty Products,The Ordinary Serum,5,25.12,125.6,Australia,Bank Transfer,Returning,Store,14.47,72.35,53.25
10155,2024-07-06,Clothing,Levi's 501 Jeans,3,68.26,204.78,North America,Bank Transfer,Returning,Store,40.5,121.5,83.28
10156,2024-07-08,Books,The Da Vinci Code,5,15.78,78.9,North America,UPI,Returning,Online,10.4,52.0,26.9
10157,2024-07-09,Clothing,Nike Air Max,15,144.3,2164.5,South America,Credit Card,New,Mobile App,114.28,1714.2,450.3
10158,2024-07-10,Clothing,Nike Air Max,3,148.69,446.07,North America,PayPal,Returning,Mobile App,99.84,299.52,146.55
10159,2024-07-11,Clothing,Levi's 501 Jeans,14,68.87,964.18,South America,PayPal,New,Online,47.75,668.5,295.68
10160,2024-07-13,Electronics,iPhone 14 Pro,15,1038.79,15581.85,Europe,Debit Card,Returning,Store,789.36,11840.4,3741.45
10161,2024-07-14,Home Appliances,Dyson V11 Vacuum,9,496.72,4470.48,Europe,Credit Card,VIP,Online,290.87,2617.83,1852.65
10162,2024-07-15,Beauty Products,Neutrogena Skincare Set,15,86.96,1304.4,Australia,PayPal,New,Online,60.85,912.75,391.65
10163,2024-07-16,Home Appliances,Dyson V11 Vacuum,2,520.83,1041.66,Australia,UPI,Returning,Online,331.67,663.34,378.32
10164,2024-07-17,Clothing,Levi's 501 Jeans,8,67.8,542.4,North America,Bank Transfer,Returning,Online,55.39,443.12,99.28
10165,2024-07-19,Beauty Products,Neutrogena Skincare Set,3,93.78,281.34,Asia,Credit Card,New,Mobile App,60.22,180.66,100.68
10166,2024-07-20,Clothing,Nike Air Max,10,153.75,1537.5,Australia,PayPal,VIP,Online,117.51,1175.1,362.4
10167,2024-07-21,Electronics,MacBook Air M2,10,1045.24,10452.4,Europe,PayPal,New,Online,855.23,8552.3,1900.1
10168,2024-07-22,Books,Atomic Habits,2,19.3,38.6,Asia,PayPal,VIP,Online,13.91,27.82,10.78
10169,2024-07-24,Home Appliances,Dyson V11 Vacuum,11,498.05,5478.55,South America,Debit Card,Returning,Mobile App,362.67,3989.37,1489.18
10170,2024-07-25,Clothing,Levi's 501 Jeans,6,67.73,406.38,Australia,Bank Transfer,New,Online,49.65,297.9,108.48
10171,2024-07-26,Electronics,MacBook Air M2,14,1127.45,15784.3,Asia,Debit Card,Returning,Online,922.02,12908.28,2876.02
10172,2024-07-27,Home Appliances,Dyson V11 Vacuum,15,493.31,7399.65,Europe,Debit Card,Returning,Store,369.69,5545.35,1854.3
10173,2024-07-28,Clothing,Nike Air Max,8,156.1,1248.8,North America,UPI,New,Online,103.53,828.24,420.56
10174,2024-07-30,Home Appliances,Philips Air Fryer,7,125.13,875.91,Europe,UPI,Returning,Store,71.92,503.44,372.47
10175,2024-07-31,Electronics,MacBook Air M2,1,1080.91,1080.91,North America,UPI,VIP,Online,652.23,652.23,428.68
10176,2024-08-01,Beauty Products,Neutrogena Skincare Set,11,86.65,953.15,South America,Credit Card,New,Store,54.09,594.99,358.16
10177,2024-08-02,Beauty Products,Neutrogena Skincare Set,14,87.31,1222.34,Asia,UPI,VIP,Store,60.8,851.2,371.14
10178,2024-08-04,Books,The Da Vinci Code,4,16.19,64.76,South America,Bank Transfer,New,Store,10.31,41.24,23.52
10179,2024-08-05,Clothing,Levi's 501 Jeans,1,69.29,69.29,Australia,UPI,New,Mobile App,54.48,54.48,14.81
10180,2024-08-06,Beauty Products,Neutrogena Skincare Set,13,88.39,1149.07,South America,Debit Card,Returning,Online,61.61,800.93,348.14
10181,2024-08-07,Books,Atomic Habits,4,20.81,83.24,Europe,Bank Transfer,VIP,Store,16.64,66.56,16.68
10182,2024-08-08,Beauty Products,The Ordinary Serum,12,25.65,307.8,South America,Debit Card,New,Store,17.44,209.28,98.52
10183,2024-08-10,Clothing,Nike Air Max,5,146.36,731.8,Europe,Debit Card,New,Mobile App,103.65,518.25,213.55
10184,2024-08-11,Electronics,MacBook Air M2,13,1063.44,13824.72,North America,PayPal,Returning,Mobile App,587.05,7631.65,6193.07
10185,2024-08-12,Electronics,Sony WH-1000XM5,3,359.59,1078.77,North America,PayPal,VIP,Online,209.01,627.03,451.74
10186,2024-08-13,Beauty Products,The Ordinary Serum,3,24.8,74.4,Australia,Bank Transfer,VIP,Online,17.79,53.37,21.03
10187,2024-08-15,Beauty Products,The Ordinary Serum,3,25.72,77.16,Asia,Bank Transfer,Returning,Online,16.03,48.09,29.07
10188,2024-08-16,Books,The Da Vinci Code,13,15.47,201.11,Asia,Debit Card,Returning,Store,10.28,133.64,67.47
10189,2024-08-17,Books,Atomic Habits,10,20.97,209.7,North America,Debit Card,New,Store,17.19,171.9,37.8
10190,2024-08-18,Electronics,Samsung Galaxy S24,15,883.64,13254.6,North America,Debit Card,New,Store,596.04,8940.6,4314.0
10191,2024-08-19,Books,Atomic Habits,6,20.56,123.36,Australia,Bank Transfer,New,Online,15.93,95.58,27.78
10192,2024-08-21,Electronics,Sony WH-1000XM5,12,360.54,4326.48,Europe,Bank Transfer,New,Mobile App,246.12,2953.44,1373.04
10193,2024-08-22,Beauty Products,Neutrogena Skincare Set,2,86.87,173.74,Europe,Credit Card,New,Online,60.3,120.6,53.14
10194,2024-08-23,Electronics,Samsung Galaxy S24,7,924.71,6472.97,Europe,UPI,Returning,Online,517.29,3621.03,2851.94
10195,2024-08-24,Electronics,iPhone 14 Pro,3,1036.07,3108.21,Asia,Debit Card,Returning,Online,800.1,2400.3,707.91
10196,2024-08-26,Home Appliances,Philips Air Fryer,6,133.08,798.48,Europe,UPI,Returning,Mobile App,82.44,494.64,303.84
10197,2024-08-27,Books,The Da Vinci Code,7,15.78,110.46,South America,PayPal,Returning,Online,9.61,67.27,43.19
10198,2024-08-28,Books,Atomic Habits,2,19.34,38.68,North America,Bank Transfer,New,Mobile App,11.55,23.1,15.58
10199,2024-08-29,Beauty Products,Neutrogena Skincare Set,3,91.37,274.11,Australia,PayPal,VIP,Mobile App,61.32,183.96,90.15
10200,2024-08-30,Beauty Products,The Ordinary Serum,14,24.22,339.08,Asia,UPI,New,Store,14.76,206.64,132.44
10201,2024-09-01,Electronics,iPhone 14 Pro,9,1005.08,9045.72,Europe,UPI,New,Online,777.64,6998.76,2046.96
10202,2024-09-02,Beauty Products,The Ordinary Serum,10,24.96,249.6,Europe,Debit Card,Returning,Mobile App,15.48,154.8,94.8
10203,2024-09-03,Home Appliances,Dyson V11 Vacuum,9,494.26,4448.34,North America,Debit Card,New,Store,307.97,2771.73,1676.61
10204,2024-09-04,Clothing,Nike Air Max,11,143.48,1578.28,North America,PayPal,VIP,Store,78.96,868.56,709.72
10205,2024-09-06,Books,Atomic Habits,3,20.77,62.31,Australia,Debit Card,VIP,Online,14.06,42.18,20.13
10206,2024-09-07,Home Appliances,Dyson V11 Vacuum,4,504.28,2017.12,Europe,UPI,New,Online,303.97,1215.88,801.24
10207,2024-09-08,Home Appliances,Dyson V11 Vacuum,4,496.13,1984.52,North America,Credit Card,VIP,Online,296.47,1185.88,798.64
10208,2024-09-09,Home Appliances,Dyson V11 Vacuum,6,477.75,2866.5,Europe,PayPal,Returning,Online,308.86,1853.16,1013.34
10209,2024-09-10,Books,Atomic Habits,14,20.85,291.9,South America,Credit Card,New,Store,12.03,168.42,123.48
10210,2024-09-12,Home Appliances,Dyson V11 Vacuum,2,517.61,1035.22,North America,Bank Transfer,Returning,Mobile App,390.1,780.2,255.02
10211,2024-09-13,Home Appliances,Philips Air Fryer,1,128.71,128.71,Asia,Bank Transfer,Returning,Mobile App,82.05,82.05,46.66
